lyrics,title 
"You said you hated the ocean, but you're surfin' now
I said I'd love you for life, but I just sold our house
We were kids at the start, I guess we're grown-ups now, mm
Couldn't ever imagine even havin' doubts
But not everything works out, no
Now I'm out dancin' with strangers
You could be casually datin'
Damn, it's all changin' so fast
Así es la vida, sí
Yeah, that's just life, baby
Yeah, love came around and it knocked me down
But I'm back on my feet
Así es la vida, sí
Yeah, that's just life, baby
I was barely standin', but now I'm dancin'
He's all over me (goza)",Bam Bam
"Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy
Oh, tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Solo con pensarlo se acelera el pulso (oh yeah)
Ya, ya me estás gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh
Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido (dirididi Daddy)
Yo sé que estás pensándolo (eh)
Llevo tiempo intentándolo (eh)
Mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bam bam
Sabe que esa beba 'tá buscando de mi bam bam
Ven prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamo' lento, después salvaje
Pasito a pasito, suave suavecito
Nos vamos pegando poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito (oh oh)
Y es que esa belleza es un rompecabezas (oh no)
Pero pa' montarlo aquí tengo la pieza (slow, oh yeah)
Despacito (yeh, yo)
Quiero respirar tu cuello despacito (yo)
Deja que te diga cosas al oído (yo)
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito (yeh)
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
(Sube, sube) Oh
Quiero ver bailar tu pelo
Quiero ser tu ritmo (uh oh, uh oh)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Déjame sobrepasar tus zonas de peligro (uh oh, uh oh)
Hasta provocar tus gritos (uh oh, uh oh)
Y que olvides tu apellido
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""Ay, bendito""
Para que mi sello se quede contigo (báilalo)
Pasito a pasito, suave suavecito (hey yeah, yeah)
Nos vamos pegando, poquito a poquito (oh no)
Que le enseñes a mi boca (uh oh, uh oh)
Tus lugares favoritos (favoritos, favoritos baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (eh-oh) (Fonsi)
Y que olvides tu apellido (DY)
Despacito",Despacito
"Tell me the words I've forgotten
What we were fighting for
Staring right into the darkness
Through an empty open door
Can't put back what's been broken
Can't change the moment
We went too far
We're pulling apart for no reason
We're pulling a trigger in a useless war
And if we come back and go into the black
What are we fighting for?
What are we fighting for?
I was supposed to protect you
No matter what's to come
Somehow forgot when they told me
We hurt the ones we loved
Can't put back what's been broken
Can't change the moment
We went too far
We're pulling apart for no reason
We're pulling a trigger in a useless war
And if we come back and go into the black
What are we fighting for?
What are we fighting?
It's just friendly fire
Fire
Fire
Fire
We're strangers in between the darkness
Diving underneath
I'll find you out on the horizon
We'll never be enemies
Can't put back what's been broken
Can't change the moment
We went too far
We're pulling apart for no reason
We're pulling a trigger in a useless war
And if we come back and go into the black
What are we fighting for?
What are we fighting?
It's just friendly fire
Fire
Fire
Fire
Fire
Fire
Fire
Fire",Friendly Fire
"I wake up to the sounds of the silence that allows
For my mind to run around with my ear up to the ground
I'm searching to behold the stories that are told
When my back is to the world that was smiling when I turned
Tell you you're the greatest
But once you turn, they hate us
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
(Look out for yourself)
My enemy (look, look, look, look)
(Look out for yourself)
But I'm ready
Your words up on the wall as you're praying for my fall
And the laughter in the halls and the names that I've been called
I stack it in my mind and I'm waiting for the time
When I show you what it's like to be words spit in a mic
Tell you you're the greatest
But once you turn, they hate us (huh)
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy (look, look, look, look)
(Look out for yourself)
My enemy (look, look, look, look) (yeah)
(Look out for yourself)
Uh, look
Okay, I'm hoping that somebody pray for me
I'm praying that somebody hope for me
I'm staying where nobody 'posed to be
P-P-Posted, being a wreck of emotions
Ready to go whenever, just let me know
The road is long, so put the pedal into the floor
The enemy on my trail, my energy unavailable
I'ma tell 'em, ""Hasta luego""
They wanna plot on my trot to the top
I've been outta shape, thinkin' out the box, I'm an astronaut
I blasted off the planet rock to cause catastrophe
And it matters more because I had it not
Had I thought about wreaking havoc on an opposition
Kinda shocking they wanted static with precision, I'm automatic
Quarterback, I ain't talkin' sacking
Pack it, pack it up, I don't panic
Batter, batter up, who the baddest?
It don't matter 'cause we at your throat
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be
My enemy
Oh, the misery
Everybody wants to be my enemy
Spare the sympathy
Everybody wants to be my enemy
Pray it away, I swear
I'll never be a saint, no way
My enemy
Pray it away, I swear
I'll never be a saint",Enemy
"This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (woo) and throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I can't slow dance with you
Come pour some sugar on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now, woo, huh (woo)
There's a tornado (there's a tornado) in my city (in my city)
Hit the basement (hit the basement), that shit ain't pretty (shit ain't pretty)
Rugged whiskey (rugged whiskey) 'cause we survivin' ('cause we survivin')
Off red cup kisses, sweet redemption, passin' time, yeah
Ooh, one step to the right
We headin' to the dive bar we always thought was nice
Ooh, run me to the left
Then spin me in the middle, boy, I can't read your mind
This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down
So park your Lexus (woo) and throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I can't slow dance with you
Come pour some sugar on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)
And I'll be damned if I cannot dance with you
Come pour some liquor on me, honey too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)
Woo-hoo
Woo-hoo
Woo-hoo
There's a heatwave (there's a heatwave) coming at us (coming at us)
Too hot to think straight (too hot to think straight)
Too cold to panic (cold to panic)
All of the problems just feel dramatic (just feel dramatic)
And now we're runnin' to the first spot that we find, yeah
Ooh, one step to the right
We headin' to the dive bar we always thought was nice
Ooh, you run to the left
Just work me in the middle, boy, I can't read your mind
This ain't Texas (woo), ain't no hold 'em (hey)
So lay your cards down, down, down, down, oh
So park your Lexus (hey), throw your keys up (hey)
Stick around, 'round, 'round, 'round, 'round (stick around)
And I'll be damned if I cannot dance with you
Come pour some sugar on me, honey, too
It's a real life boogie and a real life hoedown
Don't be a bitch, come take it to the floor now (woo)
And I'll be damned if I cannot dance with you
Come pour some liquor on me honey, too
It's a real life boogie and a real life hoedown
Don't be a-, come take it to the floor now, ooh
Take it to the floor now, ooh
Hoops, spurs, boots
To the floor now, ooh
Tuck, back, oops (ooh, ooh, ooh)
Shoot
Come take it to the floor now, ooh
And I'll be damned if I cannot dance with you
Baby, pour that sugar and liquor on me too
Furs, spurs, boots
Solargenic, photogenic, shoot",Texas Hold Em'
"Vaazhkaiya Thedi Naanum Poren
Kaandula Paadum Paatu Kaaren
Bothayil Paadum Soga Paata
Sodava Kalanthu Paada Poren

Maaman Otandi Periya Loosandi
Adi Vangiye Naa Strongana Maayandi
Aanaen Naan Bondi
Athayumthaan Thaandi Poraaduven
Naa Veriyana Virumaandi

Ada Oothungada Sangu
Naa Thanda Soru Kingu
Thamizh Is My Mother Toungue

I'm Single And I'm Young..
Ada Oothungada Sangu
Naa Thanda Soru Kingu
Thamizh Is My Mother Toungue
I'm Single And I'm Young..

Oothu Sangu
Naanthaan Kingu
Iam Single And Youngu
Sangu Naanthaan Kingu
Mother Toungue

I'm Single And Youngu


Erumaiku Kooda Blue Cross Irukku
Ennakaga Yosikka Uyiraa Irukku?
Maratha Suththi Duet Paadi
Love Panna Ennakumthaan Aasa Irukka
Maanam Roshamlam Keezha Vittachuda
Plastic Poo Kooda Vaadi Poyachuda
Vella Šøllama Ulla Azhuguraen Da
Vella Manasellam Inga Kanakila Da..


Dandanaka Dandanaka..


Ada Oøthungada..
Naa Thanda Šøru..
Thamizh Is My Møther..
I'm Šingle And I'm..

Ada Oøthungada Šangu
Naa Thanda Šøru Kingu
Thamizh Is My Møther Tøungue
I'm Šingle And I'm Yøung..
I'm Šingle And I'm Yøungu..

Oøthu Šangu
Naanthaan Kingu
I'm Šingle And Yøungu
Šangu Naanthaan Kingu

Møther Tøungue
I'm Šingle And Yøungu",Udhungada Sangu
"Kya bolthe hai Naezy the baa?
Kya bolthe bumai
Apun kuch karthe na yaar apne public ke liye


Karthe na apne aiba patel log keliye
Haa apne pasha log ke liye
Oho ek number!
Kidhar hai thu abhi
Bombay sattar mein aiba thum kahan ho

Tere shooterooo ka khaas
Meri gully mein
Pure shehar ki awaaz
Mere gully mein
Pray Aarthi ya Namaz
Meri gully mein
Maa pe gaali tho chamat
Mere gully mein
Police aayi lagi waat
Mere gully mein


Tere gully se...
Par ab wo mere gully mein


Mere Gully Mein gully gully gully mein
Tere shootero ka khaas meri gully mein
Pure shehar ki awaaz mere gully mein

Mere Gully Mein gully gully gully mein
Police aayi lagi waat mere gully mein
Ek number saari batth mere gully mein


Dekho tho idhar
Mere gully mein hai ghar
Chote chote lekin zara dekho
Dil mein hai jagah beshumaar
De pukar
Kabhi bhi gully se madad dene ko tayaar
Garebi chalengi
Lekin farebi karenge nahi
Jalebi talenge
Lekin pateli rukhegi nahi
Jahan bhi chalenge
Bole hatela jhukega nahi
Kyun?
Kyunki hatela hai mere gully ka tareka saleka sikela hai

Roshan chaukat ye avli bawaal ye
Raunak bombay ki chawl kaamal ye
Shobath bohot ich maohabbat wale ye
Daulath shaurath jake kama leve

Bantai bachhi bumai girgit pakde patri par
Macchi wacchi fasai kitpit karve marzi par
Chapre chudve chapri deve iski topi uske sar
Addi karve jo bhi chepan chappi uske pasli par


Mere Gully Mein gully gully gully mein
Tere shooterooo ka khaas
Meri gully mein
Pure shehar ki awaaz
Mere gully mein

Mere Gully Mein gully gully gully mein
Police aayi lagi waat
Mere gully mein
Ek number saari batth
Mere gully mein
[Verse: DIVINE]
Machthe hai khali wali
Chaltha mein jabi jabi
We gettin money money

Sab kuch navi navi

Chokri satth tere jadthe mujje gadi gadi
Karthe kuch nahi baathe sirf badi badi
Bechadu paathe tere kheltha nahi rummy wummy
Mein aur Aafat saath gane mein koi kami nahi
Gas kali joint jali dum lagi lagi

Haath gumi saat lagi baage mummy mummy

""Mushkil"" naam ki ladki hai jispe mausi bhadki hai
Dusri ladki ""kadki"" hai

Jispe sabki hutthi hai
Thisri hum pe marthi hai
""khushi"" sab samajthi hai

Chor mere gully mein?

Wo tho salla mantri hai
Role mere galli mein?

Ek se ek khatri hai
Jhol mere gully mein pura karke wat liye
Police aayi gully mein...

Mere shooter saare vut liye

Mere Gully Mein gully gully gully mein
Tere shooterooo ka khaas
Meri gully mein
Pure shehar ki awaaz
Mere gully mein
Mere Gully Mein gully gully gully mein
Police aayi lagi waat
Mere gully mein
Ek number saari batth
Mere gully mein

Mere Gully Mein
Tere shooterooo ka khaas meri gully mein
Mere Gully Mein
Police aayi lagi vaat Mere Gully Mein
Mere Gully Mein, Gully Gully Mein
Tere shooterooo ka khaas meri gully mein
Mere Gully Mein, Gully Gully Mein
Ek number saari baat mere gully mein

Mere Gully Mein",Gully
"Rest In Peace

L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
Leo Ohh Ohh Ohh Ohh

Rest In Peace

Badass
Mr Leo Das Is A Badass
Badass
Mr Leo Das Is A Badass
Badass
Mr Leo Das Is A Badass
Leo Ohh Ohh Ohh Ohh

L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
Badass Mr Leo Das Is A Badass

L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
Badass Mr Leo Das Is A Badass

L E O Das Is A Badass
He’s Gonna Kick Your Sad Ass
Badass Mr Leo Das Is A Badass

Rest In Peace",Leo Das
"oshiete oshiete yo sono shikumi wo
boku no naka ni dare ga iru no?
kowareta kowareta yo kono sekai
de kimi ga warau nanimo miezu ni

kowareta boku nante sa iki wo tomete
freeze
kowaseru kowasenai kurueru kuruenai
anata wo mitsukete yureta
yuganda sekai ni dan dan boku
wa sukitootte mienaku natte
mitsukenaide boku no
koto wo mitsumenaide
dareka ga egaita sekai no naka de
anata wo kizutsuketaku wa nai yo

oboeteite boku no koto wo",unravel
I can't prove it haunts her I guess on come on. Oh switch it haunts her I guess on Come on Come. Baby you can you can you can you can you can. Olive Garden at my baby I guess on Come on Come. Tell 'em too bad your body on come on come on.,Tejas
